window_start,device_mac,anomaly_score,is_anomaly
1785313143.519992,08:00:27:5a:87:bc,-0.2999725254297876,True
1785313143.519992,08:00:27:8a:0d:75,-0.11631376884906075,True
1785313143.519992,08:00:27:a5:9e:2d,-0.11722932951026133,True
1785313153.519992,08:00:27:5a:87:bc,-0.14686421923060067,True
1785313153.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313153.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313163.519992,08:00:27:5a:87:bc,-0.1694258603468186,True
1785313163.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313163.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313173.519992,08:00:27:5a:87:bc,-0.1694258603468186,True
1785313173.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313173.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313183.519992,08:00:27:5a:87:bc,-0.15829474773329655,True
1785313183.519992,08:00:27:8a:0d:75,0.0973813775630698,False
1785313183.519992,08:00:27:a5:9e:2d,0.0973813775630698,False
1785313193.519992,08:00:27:5a:87:bc,-0.23768573753444489,True
1785313193.519992,08:00:27:8a:0d:75,0.06277209143727447,False
1785313193.519992,08:00:27:a5:9e:2d,0.06277209143727447,False
1785313203.519992,08:00:27:5a:87:bc,-0.20490550426739562,True
1785313203.519992,08:00:27:8a:0d:75,-0.002686146569315151,True
1785313203.519992,08:00:27:a5:9e:2d,-0.002686146569315151,True
1785313213.519992,08:00:27:5a:87:bc,-0.1510523616179854,True
1785313213.519992,08:00:27:8a:0d:75,0.07123171868271366,False
1785313213.519992,08:00:27:a5:9e:2d,0.07159007267925516,False
1785313223.519992,08:00:27:5a:87:bc,-0.14936481808699975,True
1785313223.519992,08:00:27:8a:0d:75,0.07123171868271366,False
1785313223.519992,08:00:27:a5:9e:2d,0.07159007267925516,False
1785313233.519992,08:00:27:5a:87:bc,-0.1512510395905463,True
1785313233.519992,08:00:27:8a:0d:75,0.06392564329336187,False
1785313233.519992,08:00:27:a5:9e:2d,0.07039944780242302,False
1785313243.519992,08:00:27:5a:87:bc,-0.1694258603468186,True
1785313243.519992,08:00:27:8a:0d:75,0.054179958155671615,False
1785313243.519992,08:00:27:a5:9e:2d,0.0608521031008587,False
1785313253.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313253.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785313253.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785313263.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785313263.519992,08:00:27:8a:0d:75,0.06315482222563895,False
1785313263.519992,08:00:27:a5:9e:2d,0.06990728438819055,False
