window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785423566.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423566.155571,08:00:27:9c:f0:f1,100,793671,0.040617535812686185,0.3158253359631419,0,0.0,0,0.0,0.0,,167.1238155401137
1785423566.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423571.155571,08:00:27:34:35:33,19,1465,0.11181683010525173,0.3155996095337717,1,0.2,0,0.0,0.05263157894736842,7.653236389160156e-05,0.005540951984719832
1785423571.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423571.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423571.155571,08:00:27:9c:f0:f1,30,264433,0.07017079715071053,0.22587235628743843,0,0.0,0,0.0,0.0,8.177757263183594e-05,175.93679308050565
1785423571.155571,08:00:27:a5:9e:2d,6,550,0.4666353702545166,0.3533942022670709,0,0.0,1,0.2,0.0,,1.1224489795918366
1785423576.155571,08:00:27:34:35:33,31,2289,0.13511122862497965,0.3443700750618966,0,0.0,1,0.2,0.0,0.00012103716532389323,0.008647819532964854
1785423576.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423576.155571,08:00:27:8a:0d:75,13,3724,0.33980458974838257,0.4769530250020861,0,0.0,0,0.0,0.0,,2.941548183254344
1785423576.155571,08:00:27:9c:f0:f1,35,264827,0.12796247005462646,0.32963614761150173,0,0.0,0,0.0,0.0,6.756782531738281e-05,109.20701030927835
1785423576.155571,08:00:27:a5:9e:2d,24,2110,0.18058756123418393,0.25962143003950294,1,0.2,0,0.0,0.0,0.034592787424723305,0.46190893169877406
1785423581.155571,08:00:27:34:35:33,4,392,1.0188080469767253,0.00725883334933806,0,0.0,0,0.0,0.0,8.702278137207031e-05,1.0
1785423581.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423581.155571,08:00:27:8a:0d:75,5,490,1.023204743862152,0.0005968821002298135,0,0.0,0,0.0,0.0,,1.0
1785423581.155571,08:00:27:9c:f0:f1,5,490,1.0145307779312134,0.007637477780861736,0,0.0,0,0.0,0.0,8.282661437988281e-05,1.0
1785423581.155571,08:00:27:a5:9e:2d,14,1372,0.3301263955923227,0.33417080233454916,0,0.0,0,0.0,0.0,0.00022249221801757814,1.0
1785423586.155571,08:00:27:34:35:33,7,686,0.6826860109965006,0.3176133735143682,0,0.0,0,0.0,0.0,8.015632629394531e-05,1.0
1785423586.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423586.155571,08:00:27:8a:0d:75,7,1911,0.3417946894963582,0.47772320579767674,0,0.0,0,0.0,0.0,,2.802052785923754
1785423586.155571,08:00:27:9c:f0:f1,6,550,0.8448678016662597,0.34267311528955213,1,0.2,0,0.0,0.0,4.544258117675781e-05,1.0
1785423586.155571,08:00:27:a5:9e:2d,17,1526,0.2706470489501953,0.35883751856790447,0,0.0,1,0.2,0.0,0.00012099742889404297,0.553901996370236
1785423591.155571,08:00:27:34:35:33,9,882,0.5119193494319916,0.267200761424688,0,0.0,0,0.0,0.0,0.00016742944717407227,1.0
1785423591.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423591.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423591.155571,08:00:27:9c:f0:f1,5,490,1.0238427519798279,0.0005009388639620194,0,0.0,0,0.0,0.0,0.015146017074584961,1.0
1785423591.155571,08:00:27:a5:9e:2d,4,392,1.0237713654836018,0.00011314819840093558,0,0.0,0,0.0,0.0,,1.0
1785423596.155571,08:00:27:34:35:33,28,2129,0.15116892920600045,0.3621784210738842,0,0.0,0,0.0,0.0,0.00013077259063720703,0.008056246144997295
1785423596.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423596.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423596.155571,08:00:27:9c:f0:f1,23,263875,0.00014254179867831144,0.00019882499827722134,0,0.0,0,0.0,0.0,,151.91421991940126
1785423596.155571,08:00:27:a5:9e:2d,4,392,1.0240660508473713,9.202469871591015e-05,0,0.0,0,0.0,0.0,,1.0
1785423601.155571,08:00:27:34:35:33,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423601.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423601.155571,08:00:27:8a:0d:75,6,1813,0.20565719604492189,0.40028423660369217,0,0.0,0,0.0,0.0,,3.1044520547945207
1785423601.155571,08:00:27:9c:f0:f1,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423601.155571,08:00:27:a5:9e:2d,7,584,0.17140869299570718,0.3733495777139533,0,0.0,0,0.0,0.0,9.5367431640625e-07,0.3221180364037507
1785423606.155571,08:00:27:34:35:33,2,196,1.0204048156738281,0.0,0,0.0,0,0.0,0.0,,1.0
1785423606.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423606.155571,08:00:27:8a:0d:75,7,686,0.5592393080393473,0.18361727152610444,0,0.0,0,0.0,0.0,0.006553332010904948,1.0
1785423606.155571,08:00:27:9c:f0:f1,8,682,0.29295257159641813,0.45638314574182,0,0.0,0,0.0,0.0,0.0001125335693359375,0.3568812140240712
1785423606.155571,08:00:27:a5:9e:2d,12,2401,0.3171965642408891,0.32732744890541826,0,0.0,0,0.0,0.0,0.033501267433166504,2.0486348122866893
1785423611.155571,08:00:27:34:35:33,8,784,0.47683327538626535,0.2444311902858819,0,0.0,0,0.0,0.0,0.00023472309112548828,1.0
1785423611.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423611.155571,08:00:27:8a:0d:75,3,294,1.0250284671783447,0.0002505779266357422,0,0.0,0,0.0,0.0,0.0001323223114013672,1.0
1785423611.155571,08:00:27:9c:f0:f1,5,452,0.7679769992828369,0.38914080861108086,0,0.0,1,0.2,0.0,0.00013267993927001953,1.0
1785423611.155571,08:00:27:a5:9e:2d,8,746,0.5599668366568429,0.31910729525274206,1,0.2,0,0.0,0.0,,1.0
1785423616.155571,08:00:27:34:35:33,9,825,0.5047535002231598,0.7004998945382181,1,0.2,0,0.0,0.0,0.00013359387715657553,0.8665966386554622
1785423616.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423616.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423616.155571,08:00:27:9c:f0:f1,6,696,0.20139918327331544,0.40181750441459385,0,0.0,0,0.0,0.0,,1.2231985940246046
1785423616.155571,08:00:27:a5:9e:2d,3,256,0.5275169610977173,0.49615800380706787,0,0.0,1,0.2,0.0,,1.0
1785423621.155571,08:00:27:34:35:33,5,490,1.02401202917099,0.000559330326389777,0,0.0,0,0.0,0.0,0.00016016960144042968,1.0
1785423621.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423621.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423621.155571,08:00:27:9c:f0:f1,5,490,1.02402925491333,0.00041146909443879606,0,0.0,0,0.0,0.0,,1.0
1785423621.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423626.155571,08:00:27:34:35:33,5,490,1.0241307616233826,0.00040365171559630063,0,0.0,0,0.0,0.0,0.00012974739074707032,1.0
1785423626.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423626.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423626.155571,08:00:27:9c:f0:f1,5,490,1.0241047739982605,0.00039284923080342446,0,0.0,0,0.0,0.0,,1.0
1785423626.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423631.155571,08:00:27:34:35:33,3,294,2.0164300203323364,0.9925581216812134,0,0.0,0,0.0,0.0,0.00010466575622558594,1.0
1785423631.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423631.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423631.155571,08:00:27:9c:f0:f1,3,294,2.0163880586624146,0.9925631284713745,0,0.0,0,0.0,0.0,,1.0
1785423631.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423636.155571,08:00:27:34:35:33,5,490,1.0239937901496887,0.00021684273806831463,0,0.0,0,0.0,0.0,0.0001349925994873047,1.0
1785423636.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423636.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423636.155571,08:00:27:9c:f0:f1,5,490,1.0239654779434204,0.00022006658011072317,0,0.0,0,0.0,0.0,,1.0
1785423636.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423641.155571,08:00:27:34:35:33,5,471,0.0006669759750366211,0.0005525437244282787,0,0.0,0,0.0,0.0,,0.7876254180602007
1785423641.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423641.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423641.155571,08:00:27:9c:f0:f1,5,598,0.0006434917449951172,0.0004935033937952428,0,0.0,0,0.0,0.0,,1.2696390658174097
1785423641.155571,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423646.155571,08:00:27:34:35:33,40,2978,0.10314538539984287,0.4970796142475609,0,0.0,0,0.0,0.0,9.107589721679688e-05,0.005639660181120584
1785423646.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423646.155571,08:00:27:8a:0d:75,8,2009,0.43919171605791363,0.5026327599077802,0,0.0,0,0.0,0.0,,2.575641025641026
1785423646.155571,08:00:27:9c:f0:f1,49,527948,0.02121385435263316,0.14453361324868594,0,0.0,0,0.0,0.0,,183.31527777777777
1785423646.155571,08:00:27:a5:9e:2d,10,878,0.3415879938337538,0.4365492411137688,0,0.0,0,0.0,0.0,0.00012071927388509114,0.4167062173706692
1785423651.155571,08:00:27:34:35:33,7,610,0.6986000140508016,0.44507649703611174,1,0.2,1,0.2,0.0,0.004481267929077148,1.0
1785423651.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423651.155571,08:00:27:8a:0d:75,11,1002,0.4074902057647705,0.20344351881296693,1,0.2,1,0.2,0.0,9.717941284179688e-05,1.0
1785423651.155571,08:00:27:9c:f0:f1,6,486,0.005924606323242187,0.011579994020035385,0,0.0,0,0.0,0.0,,0.28338192419825076
1785423651.155571,08:00:27:a5:9e:2d,23,3327,0.207179687239907,0.17785755638567424,2,0.4,2,0.4,0.0,0.0001952648162841797,1.5857959961868446
1785423656.155571,08:00:27:34:35:33,5,490,1.0240552425384521,0.0001450388616595382,0,0.0,0,0.0,0.0,0.0001811981201171875,1.0
1785423656.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423656.155571,08:00:27:8a:0d:75,10,980,0.5052553282843696,0.04887089171243541,0,0.0,0,0.0,0.0,0.0029726028442382812,1.0
1785423656.155571,08:00:27:9c:f0:f1,10,878,0.4565499888526069,0.5050834905532785,0,0.0,0,0.0,0.0,0.00011903047561645508,0.4167062173706692
1785423656.155571,08:00:27:a5:9e:2d,24,3577,0.21523696443308954,0.191595159522608,0,0.0,0,0.0,0.0,0.0015891551971435546,1.5234241908006814
1785423661.155571,08:00:27:34:35:33,4,392,1.023978630701701,0.004461924947031692,0,0.0,0,0.0,0.0,0.00011610984802246094,1.0
1785423661.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423661.155571,08:00:27:8a:0d:75,15,2593,0.3270167963845389,0.45171859823559546,0,0.0,0,0.0,0.0,0.00010222196578979492,1.0
1785423661.155571,08:00:27:9c:f0:f1,5,490,1.0240013003349304,0.0005260255314489337,0,0.0,0,0.0,0.0,0.00251917839050293,1.0
1785423661.155571,08:00:27:a5:9e:2d,24,3475,0.19906012908272122,0.18746259812144944,0,0.0,0,0.0,0.0,,1.0
1785423666.155571,08:00:27:34:35:33,3,294,2.0139689445495605,0.9898149967193604,0,0.0,0,0.0,0.0,0.00012071927388509114,1.0
1785423666.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423666.155571,08:00:27:8a:0d:75,5,490,1.0155837535858154,0.00878123067034275,0,0.0,0,0.0,0.0,9.46044921875e-05,1.0
1785423666.155571,08:00:27:9c:f0:f1,3,294,1.9231730699539185,0.8990238904953003,0,0.0,0,0.0,0.0,0.00011610984802246094,1.0
1785423666.155571,08:00:27:a5:9e:2d,7,686,0.7852111657460531,0.33616347518264267,0,0.0,0,0.0,0.0,,1.0
1785423671.155571,08:00:27:34:35:33,6,550,0.8184229850769043,0.38260678836457157,0,0.0,1,0.2,0.0,0.00017347335815429688,1.0
1785423671.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423671.155571,08:00:27:8a:0d:75,5,490,1.0240142345428467,0.0022880643419685336,0,0.0,0,0.0,0.0,0.00013217926025390624,1.0
1785423671.155571,08:00:27:9c:f0:f1,6,550,0.8184041976928711,0.3827093581838164,1,0.2,0,0.0,0.0,,1.0
1785423671.155571,08:00:27:a5:9e:2d,5,490,1.0239952206611633,0.0024159577739093284,0,0.0,0,0.0,0.0,,1.0
1785423676.155571,08:00:27:34:35:33,31,2321,0.13597246805826824,0.3377186859852071,1,0.2,0,0.0,0.0,0.00011903047561645508,0.008772029282931014
1785423676.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423676.155571,08:00:27:8a:0d:75,6,486,0.006153392791748047,0.011990819564951597,0,0.0,0,0.0,0.0,,0.28338192419825076
1785423676.155571,08:00:27:9c:f0:f1,32,264591,0.1315852903550671,0.333100708921059,0,0.0,1,0.2,0.0,,113.99870745368376
1785423676.155571,08:00:27:a5:9e:2d,5,1715,0.007674992084503174,0.01293839827613186,0,0.0,0,0.0,0.0,,3.52880658436214
1785423681.155571,08:00:27:34:35:33,25,1899,0.16923670967419943,0.4761391672863808,0,0.0,0,0.0,0.0,0.00018199284871419272,0.0071867844910780175
1785423681.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423681.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423681.155571,08:00:27:9c:f0:f1,24,263941,0.00014561155567998472,0.00020407698155188185,0,0.0,0,0.0,0.0,,164.44922118380063
1785423681.155571,08:00:27:a5:9e:2d,3,294,1.0265945196151733,0.0028895139694213867,0,0.0,0,0.0,0.0,,1.0
1785423686.155571,08:00:27:34:35:33,6,550,0.819941234588623,0.39413877773222794,1,0.2,0,0.0,0.0,0.00017199516296386718,1.0
1785423686.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423686.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423686.155571,08:00:27:9c:f0:f1,6,486,0.005773591995239258,0.011116283953552878,0,0.0,0,0.0,0.0,,0.28338192419825076
1785423686.155571,08:00:27:a5:9e:2d,11,2265,0.4099522829055786,0.4639912694063683,0,0.0,1,0.2,0.0,,2.186293436293436
1785423691.155571,08:00:27:34:35:33,5,490,1.0240445137023926,0.00023851362956307028,0,0.0,0,0.0,0.0,0.00010962486267089844,1.0
1785423691.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423691.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423691.155571,08:00:27:9c:f0:f1,5,452,0.7661790251731873,0.37627887754643796,1,0.2,0,0.0,0.0,0.00013273954391479492,1.0
1785423691.155571,08:00:27:a5:9e:2d,10,942,0.45513200759887695,0.28387935968614897,0,0.0,1,0.2,0.0,,1.0
1785423696.155571,08:00:27:34:35:33,6,569,0.6019744396209716,1.2030518637250396,0,0.0,0,0.0,0.0,0.00013208389282226562,0.8175287356321839
1785423696.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423696.155571,08:00:27:8a:0d:75,9,2107,0.5125770270824432,0.5064528897332979,0,0.0,0,0.0,0.0,,2.3997722095671983
1785423696.155571,08:00:27:9c:f0:f1,5,598,0.00047600269317626953,0.00029998394187307615,0,0.0,0,0.0,0.0,,1.2696390658174097
