window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785423526.155571,08:00:27:34:35:33,8,784,1.024277993610927,0.0007158979157282911,0,0.0,0,0.0,0.0,0.003124535083770752,1.0
1785423526.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423526.155571,08:00:27:8a:0d:75,7,686,1.0185656547546387,0.0076358453939059006,0,0.0,0,0.0,0.0,,1.0
1785423526.155571,08:00:27:9c:f0:f1,10,980,1.0906355645921495,0.1929956102850734,0,0.0,0,0.0,0.0,8.654594421386719e-05,1.0
1785423526.155571,08:00:27:a5:9e:2d,9,882,1.1841772496700287,0.44122336886074726,0,0.0,0,0.0,0.0,0.00012612342834472656,1.0
1785423536.155571,08:00:27:34:35:33,12,1100,0.838050365447998,0.36176592301462906,1,0.1,1,0.1,0.0,9.80377197265625e-05,1.0
1785423536.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423536.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423536.155571,08:00:27:9c:f0:f1,26,2370,0.3687464809417725,0.24942679568311496,1,0.1,1,0.1,0.0,0.0001359879970550537,0.6585162545151431
1785423536.155571,08:00:27:a5:9e:2d,13,2499,0.683963676293691,0.47901793722917474,0,0.0,0,0.0,0.0,,1.9677165354330708
1785423546.155571,08:00:27:34:35:33,11,1059,0.9119709014892579,0.9466238013411407,0,0.0,0,0.0,0.0,0.00011837482452392578,0.8929173693086003
1785423546.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423546.155571,08:00:27:8a:0d:75,6,486,0.004397010803222657,0.008596480583652769,0,0.0,0,0.0,0.0,,0.28338192419825076
1785423546.155571,08:00:27:9c:f0:f1,26,2554,0.3793947219848633,0.3576608922114583,0,0.0,0,0.0,0.0,0.0013987753126356336,0.6985776805251641
1785423546.155571,08:00:27:a5:9e:2d,19,4312,0.5103776190016005,0.4977890932466914,0,0.0,0,0.0,0.0,,2.3257820927723842
1785423556.155571,08:00:27:34:35:33,50,3811,0.18470687768897232,0.6619433694689227,0,0.0,0,0.0,0.0,5.245208740234375e-05,0.007198688331362556
1785423556.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423556.155571,08:00:27:8a:0d:75,1,60,,,1,0.1,0,0.0,0.0,,1.0
