window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785313143.519992,08:00:27:5a:87:bc,10,532,0.11566098531087239,0.317276027358346,4,0.4,2,0.2,0.4,0.0004959702491760254,1.2201834862385321
1785313143.519992,08:00:27:8a:0d:75,15,1280,0.6949600662503924,0.4558763917737988,1,0.1,3,0.3,0.0,,1.0289389067524115
1785313143.519992,08:00:27:a5:9e:2d,15,1280,0.6950322730200631,0.45704381129681404,1,0.1,3,0.3,0.0,0.00013944837782118056,1.0289389067524115
1785313153.519992,08:00:27:5a:87:bc,8,336,0.43307341848100933,0.5000020184867902,0,0.0,8,0.8,0.0,,10.0
1785313153.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313153.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313163.519992,08:00:27:5a:87:bc,2,84,3.0040740966796875e-05,0.0,0,0.0,2,0.2,0.0,,10.0
1785313163.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313163.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313173.519992,08:00:27:5a:87:bc,2,84,4.696846008300781e-05,0.0,0,0.0,2,0.2,0.0,,10.0
1785313173.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313173.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313183.519992,08:00:27:5a:87:bc,4,280,0.4127630392710368,0.5831629793248357,0,0.0,2,0.2,0.0,0.0004900693893432617,1.4285714285714286
1785313183.519992,08:00:27:8a:0d:75,1,98,,,0,0.0,0,0.0,0.0,,0.7
1785313183.519992,08:00:27:a5:9e:2d,1,98,,,0,0.0,0,0.0,0.0,,0.7
1785313193.519992,08:00:27:5a:87:bc,6,476,1.1959434032440186,1.9269663235837509,0,0.0,2,0.2,0.0,0.000996410846710205,1.2142857142857142
1785313193.519992,08:00:27:8a:0d:75,2,196,1.005798101425171,0.0,0,0.0,0,0.0,0.0,,0.8235294117647058
1785313193.519992,08:00:27:a5:9e:2d,2,196,1.0066308975219727,0.0,0,0.0,0,0.0,0.0,,0.8235294117647058
1785313203.519992,08:00:27:5a:87:bc,24,2128,0.3918547837630562,0.4728571363314024,2,0.2,2,0.2,0.0,0.0006729960441589355,1.023076923076923
1785313203.519992,08:00:27:8a:0d:75,11,1040,0.901095700263977,0.24025434948854119,0,0.0,1,0.1,0.0,,0.9774436090225563
